Degree,Major code,Major Name,Total,By Gender,
,,,,Men,Women
  ,  ,"Agr, Cons, Env Sci ",  ,  ,  
NDEG ,9875 ,Business Administration (MBA) ,8,3,5
NONE ,0070 ,Curric Unassigned ,1021,575,445
  ,  ,Business ,6213,3543,2660
,,,,,
,,,,,
  ,  ,Education ,  ,  ,  
BS ,5391 ,Learning and Education Studies ,11,4,7
BS ,5391 ,Learning and Education Studies ,2,0,2
BS ,5391 ,Learning and Education Studies ,12,0,12
BS ,5391 ,Learning and Education Studies ,12,5,7
BS ,5391 ,Learning and Education Studies ,11,5,6
NDEG ,0067 ,Nondegree ,5,1,4
NONE ,5598 ,Education Curriculum Uassign ,22,4,18
BS ,0093 ,Special Education ,107,14,92
EDM ,0093 ,Special Education ,11,1,10
EDM ,0093 ,Special Education ,15,0,15
MS ,0093 ,Special Education ,1,0,1
PHD ,0093 ,Special Education ,26,4,22
BS ,0094 ,Early Childhood Education ,37,2,35
BS ,0094 ,Early Childhood Education ,2,0,2
BS ,0094 ,Early Childhood Education ,1,0,1
BS ,0094 ,Early Childhood Education ,1,0,1
BS ,0094 ,Early Childhood Education ,3,0,3
BS ,0094 ,Early Childhood Education ,2,0,2
BS ,0094 ,Early Childhood Education ,1,0,1
BS ,0094 ,Early Childhood Education ,3,0,3
BS ,0095 ,Elementary Education ,294,20,274
BS ,5422 ,Middle Grades Education ,26,6,20
BS ,5422 ,Middle Grades Education ,13,3,10
BS ,5422 ,Middle Grades Education ,35,10,25
BS ,5422 ,Middle Grades Education ,4,0,4
BS ,5422 ,Middle Grades Education ,4,1,3
CAS ,1144 ,Curriculum and Instruction ,1,0,1
EDD ,1144 ,Curriculum and Instruction ,2,0,2
EDM ,0095 ,Elementary Education ,8,3,5
EDM ,1144 ,Curriculum and Instruction ,20,2,18
EDM ,5082 ,Early Childhood Education ,6,0,6
EDM ,8527 ,Secondary Education ,1,1,0
EDM ,8527 ,Secondary Education ,4,1,3
EDM ,8527 ,Secondary Education ,6,5,1
EDM ,8527 ,Secondary Education ,7,4,3
EDM ,8527 ,Secondary Education ,2,2,0
MA ,1144 ,Curriculum and Instruction ,5,0,5
NDEG ,1144 ,Curriculum and Instruction ,4,1,3
PHD ,1144 ,Curriculum and Instruction ,46,14,32
PHD ,1144 ,Curriculum and Instruction ,1,0,1
MS ,0210 ,Educational Psychology ,5,0,5
PHD ,0210 ,Educational Psychology ,46,14,32
CAS ,5399 ,"Educ Policy, Orgzn & Leadrshp ",5,2,3
CAS ,5399 ,"Educ Policy, Orgzn & Leadrshp ",6,2,4
CAS ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,1,0
EDD ,0209 ,Ed Organization and Leadership ,2,2,0
EDD ,0209 ,Ed Organization and Leadership ,9,5,4
EDD ,0209 ,Ed Organization and Leadership ,2,0,2
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,1,1
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,0,2
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",7,4,3
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",22,11,11
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,0,1
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",14,6,8
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,0,2
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",24,13,10
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,1,1
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",61,27,34
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,1,1
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",29,10,19
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,0,2
EDD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",80,23,57
EDM ,0209 ,Ed Organization and Leadership ,1,1,0
EDM ,0220 ,Educational Policy Studies ,1,1,0
EDM ,4096 ,Human Resource Education ,1,1,0
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",3,2,1
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",19,5,14
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",39,9,30
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",6,2,4
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",35,8,27
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",3,0,3
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",16,3,13
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",19,6,13
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",3,1,2
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",24,6,18
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",20,10,10
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,0,2
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",26,3,23
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",20,1,19
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,1,0
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",12,3,9
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",63,13,49
EDM ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,1,1
MA ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,0,1
MA ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,1,0
MA ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,0,2
MA ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,1,0
MA ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,0,1
NDEG ,5399 ,"Educ Policy, Orgzn & Leadrshp ",4,0,4
NDEG ,5399 ,"Educ Policy, Orgzn & Leadrshp ",38,15,23
PHD ,0209 ,Ed Organization and Leadership ,3,1,2
PHD ,0209 ,Ed Organization and Leadership ,4,0,4
PHD ,0209 ,Ed Organization and Leadership ,1,1,0
PHD ,0220 ,Educational Policy Studies ,38,16,22
PHD ,0220 ,Educational Policy Studies ,1,1,0
PHD ,0220 ,Educational Policy Studies ,1,0,1
PHD ,4096 ,Human Resource Education ,7,4,3
PHD ,4096 ,Human Resource Education ,11,4,7
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",11,3,8
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",23,11,12
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",3,3,0
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",15,2,13
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",3,2,1
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",12,5,7
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",7,0,7
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,1,1
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",1,0,1
PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",5,2,3
  ,  ,Education ,1612,386,1223
,,,,,
,,,,,
  ,  ,Engineering ,  ,  ,  
BS ,5163 ,Agricultural & Biological Engr ,52,30,22
BS ,5163 ,Agricultural & Biological Engr ,11,8,3
BS ,5163 ,Agricultural & Biological Engr ,17,10,7
MENGR ,1211 ,Engineering ,30,23,7
MS ,5163 ,Agricultural & Biological Engr ,25,20,5
NDEG ,0067 ,Nondegree ,181,132,49
PHD ,5163 ,Agricultural & Biological Engr ,31,16,15
PHD ,5163 ,Agricultural & Biological Engr ,5,4,1
BS ,0121 ,Engineering Physics ,275,228,47
MS ,0240 ,Physics ,2,1,1
PHD ,0240 ,Physics ,283,206,77
PHD ,0240 ,Physics ,5,4,1
BS ,0106 ,Civil Engineering ,671,487,184
MS ,0106 ,Civil Engineering ,303,219,84
MS ,0106 ,Civil Engineering ,46,33,13
MS ,0106 ,Civil Engineering ,3,2,1
MS ,0231 ,Environ Engr in Civil Engr ,58,31,27
MS ,0231 ,Environ Engr in Civil Engr ,3,1,2
PHD ,0106 ,Civil Engineering ,179,142,37
PHD ,0106 ,Civil Engineering ,23,18,5
PHD ,0231 ,Environ Engr in Civil Engr ,36,22,14
PHD ,0231 ,Environ Engr in Civil Engr ,2,1,1
BS ,0408 ,Bioengineering ,266,129,137
MENGR ,0408 ,Bioengineering ,20,11,9
MENGR ,0408 ,Bioengineering ,1,0,1
MENGR ,0408 ,Bioengineering ,8,6,2
MS ,0408 ,Bioengineering ,5,2,3
PHD ,0408 ,Bioengineering ,80,46,34
PHD ,0408 ,Bioengineering ,2,0,2
PHD ,0408 ,Bioengineering ,1,0,1
BS ,0127 ,Industrial Engineering ,271,202,69
BS ,5532 ,Systems Engineering and Design ,249,180,68
MS ,0127 ,Industrial Engineering ,33,20,13
MS ,0127 ,Industrial Engineering ,1,0,1
MS ,0127 ,Industrial Engineering ,17,11,6
MS ,3846 ,Systems & Entrepreneurial Engr ,4,4,0
PHD ,0127 ,Industrial Engineering ,45,29,16
PHD ,3846 ,Systems & Entrepreneurial Engr ,18,18,0
BS ,0112 ,Computer Science ,1012,709,302
BS ,0112 ,Computer Science ,42,33,9
MCS ,0112 ,Computer Science ,116,87,29
MCS ,0112 ,Computer Science ,33,30,3
MCS ,0112 ,Computer Science ,586,478,107
MCS ,0112 ,Computer Science ,43,37,6
MS ,0112 ,Computer Science ,124,92,32
MS ,0112 ,Computer Science ,8,7,1
MS ,4026 ,Bioinformatics ,6,4,2
NDEG ,0112 ,Computer Science ,9,7,2
PHD ,0112 ,Computer Science ,345,277,68
MS ,5244 ,Financial Engineering ,126,88,38
MS ,5244 ,Financial Engineering ,1,1,0
NONE ,5333 ,Engineering Undeclared ,151,94,57
BS ,4048 ,Aerospace Engineering ,519,440,79
MS ,4048 ,Aerospace Engineering ,70,58,12
MS ,4048 ,Aerospace Engineering ,25,20,5
MS ,4048 ,Aerospace Engineering ,2,2,0
NDEG ,4048 ,Aerospace Engineering ,1,1,0
PHD ,4048 ,Aerospace Engineering ,66,57,9
PHD ,4048 ,Aerospace Engineering ,3,3,0
BS ,0118 ,Engineering Mechanics ,112,96,16
BS ,0133 ,Mechanical Engineering ,860,671,189
MENGR ,0133 ,Mechanical Engineering ,36,31,5
MENGR ,0133 ,Mechanical Engineering ,22,22,0
MENGR ,1211 ,Engineering ,3,1,2
MENGR ,1211 ,Engineering ,1,1,0
MS ,0133 ,Mechanical Engineering ,111,91,20
MS ,0133 ,Mechanical Engineering ,8,8,0
MS ,0133 ,Mechanical Engineering ,3,3,0
MS ,0242 ,Theoretical & Applied Mechans ,4,3,1
PHD ,0133 ,Mechanical Engineering ,237,204,33
PHD ,0133 ,Mechanical Engineering ,8,7,1
PHD ,0242 ,Theoretical & Applied Mechans ,27,22,5
PHD ,0242 ,Theoretical & Applied Mechans ,5,4,1
BS ,0130 ,Materials Science & Engr ,249,175,74
