Degree,Major code,Major Name,Total,By Gender,
,,,,Men,Women
  ,  ,"Agr, Cons, Env Sci ",  ,  ,  
BSLAS ,5535 ,Psychology ,13,1,12
BSLAS ,5535 ,Psychology ,7,4,3
BSLAS ,5535 ,Psychology ,1,1,0
BSLAS ,5535 ,Psychology ,16,1,15
BSLAS ,5535 ,Psychology ,2,1,1
BSLAS ,5535 ,Psychology ,40,16,24
BSLAS ,5535 ,Psychology ,12,2,10
BSLAS ,5535 ,Psychology ,12,5,7
BSLAS ,5535 ,Psychology ,5,3,2
BSLAS ,5535 ,Psychology ,1,0,1
BSLAS ,5535 ,Psychology ,24,8,16
BSLAS ,5535 ,Psychology ,5,1,4
BSLAS ,5535 ,Psychology ,1,0,1
BSLAS ,5535 ,Psychology ,6,1,5
BSLAS ,5535 ,Psychology ,2,0,2
BSLAS ,5535 ,Psychology ,7,1,6
BSLAS ,5535 ,Psychology ,2,2,0
MS ,5625 ,Psychological Science ,21,8,13
NONE ,5535 ,Psychology ,861,235,626
PHD ,5535 ,Psychology ,133,37,96
BALAS ,1008 ,African American Studies ,19,5,14
BALAS ,1008 ,African American Studies ,1,1,0
BALAS ,0344 ,Sociology ,167,61,106
BALAS ,0344 ,Sociology ,12,1,11
PHD ,0344 ,Sociology ,34,15,19
MS ,0324 ,Entomology ,5,4,1
PHD ,0324 ,Entomology ,24,17,7
BALAS ,0285 ,E Asian Languages & Cultures ,33,13,20
BALAS ,0285 ,E Asian Languages & Cultures ,1,0,1
MA ,5311 ,East Asian Studies ,11,6,5
PHD ,0285 ,E Asian Languages & Cultures ,25,7,18
MS ,0320 ,Plant Biology ,3,1,2
PHD ,0320 ,Plant Biology ,29,10,19
PHD ,0320 ,Plant Biology ,1,1,0
BSLAS ,0438 ,Integrative Biology ,282,118,164
BSLAS ,0438 ,Integrative Biology ,5,3,2
BSLAS ,0438 ,Integrative Biology ,51,23,28
BSLAS ,0438 ,Integrative Biology ,9,3,6
MS ,0314 ,Biology ,3,2,1
MS ,5107 ,"Ecol, Evol, Conservation Biol ",4,1,3
MS ,5278 ,Teaching of Biological Science ,24,9,15
PHD ,0314 ,Biology ,16,10,6
PHD ,5107 ,"Ecol, Evol, Conservation Biol ",30,10,20
BSLAS ,0314 ,Biology ,2,1,1
BSLAS ,0314 ,Biology ,3,2,1
NONE ,0314 ,Biology ,695,265,430
BALAS ,5526 ,Asian American Studies ,3,2,1
BALAS ,0074 ,Economics ,870,631,239
BALAS ,0074 ,Economics ,79,56,23
BSLAS ,0074 ,Economics ,1,1,0
BSLAS ,5321 ,Econometrics & Quant Econ ,32,26,6
BSLAS ,5321 ,Econometrics & Quant Econ ,1,0,1
BSLAS ,5667 ,Computer Science & Economics ,2,2,0
BSLAS ,5667 ,Computer Science & Economics ,1,1,0
MS ,5591 ,Economics ,140,78,62
PHD ,5591 ,Economics ,112,68,44
BS ,0335 ,Chemistry ,233,136,97
BS ,0335 ,Chemistry ,1,1,0
BSLAS ,0335 ,Chemistry ,264,126,138
BSLAS ,0335 ,Chemistry ,16,9,7
BSLAS ,0335 ,Chemistry ,3,3,0
BSLAS ,5350 ,Computer Sci & Chemistry ,40,32,8
BSLAS ,5350 ,Computer Sci & Chemistry ,1,0,1
MS ,0294 ,Teaching of Chemistry ,1,0,1
MS ,0335 ,Chemistry ,5,3,2
PHD ,0335 ,Chemistry ,276,174,102
PHD ,0337 ,Chemical Physics ,3,2,1
BSLAS ,0433 ,Molecular and Cellular Biology ,813,373,440
BSLAS ,0433 ,Molecular and Cellular Biology ,61,20,41
BSLAS ,0433 ,Molecular and Cellular Biology ,73,22,51
BSLAS ,0433 ,Molecular and Cellular Biology ,6,3,3
NONE ,3854 ,Molecular&Cell Bio-undeclared ,27,12,15
PHD ,0319 ,Biophysics & Computnl Biology ,12,9,3
PHD ,5414 ,Biophysics & Quant Biology ,43,32,11
PHD ,5414 ,Biophysics & Quant Biology ,3,1,2
BSLAS ,0333 ,Astronomy ,88,61,27
BSLAS ,0333 ,Astronomy ,1,0,1
BSLAS ,5349 ,Computer Sci & Astronomy ,39,32,7
PHD ,0333 ,Astronomy ,27,15,12
PHD ,0333 ,Astronomy ,3,2,1
BS ,0318 ,Biochemistry ,169,84,85
BSLAS ,0318 ,Biochemistry ,1,0,1
MS ,0318 ,Biochemistry ,1,1,0
PHD ,0318 ,Biochemistry ,71,39,32
BALAS ,0342 ,History ,217,145,72
BALAS ,0342 ,History ,19,9,10
BALAS ,0342 ,History ,22,13,9
PHD ,0342 ,History ,81,48,33
PHD ,0342 ,History ,1,1,0
MA ,0283 ,African Studies ,4,1,3
BALAS ,5164 ,Communication ,670,256,414
BALAS ,5164 ,Communication ,27,9,18
MA ,5164 ,Communication ,6,2,4
MS ,5285 ,Health Communication ,27,2,25
PHD ,5164 ,Communication ,29,13,16
BALAS ,5197 ,Religion ,3,2,1
MA ,5197 ,Religion ,9,2,7
BALAS ,0311 ,English ,287,69,218
BALAS ,0311 ,English ,29,5,24
BALAS ,0311 ,English ,42,15,27
BALAS ,0311 ,English ,1,0,1
BALAS ,5347 ,Creative Writing ,75,26,49
BALAS ,5347 ,Creative Writing ,5,1,4
MA ,0311 ,English ,19,7,12
MFA ,1136 ,Creative Writing ,18,11,7
PHD ,0311 ,English ,60,21,39
PHD ,0311 ,English ,2,0,2
PHD ,0311 ,English ,2,2,0
BALAS ,0308 ,Classics ,12,6,6
BALAS ,0308 ,Classics ,1,0,1
MA ,0308 ,Classics ,3,1,2
MA ,0308 ,Classics ,1,0,1
MA ,0345 ,Teaching of Latin ,2,0,2
PHD ,0347 ,Classical Philology ,10,7,3
BALAS ,4097 ,"Russian, E Eur, Eurasian St ",4,1,3
BALAS ,4097 ,"Russian, E Eur, Eurasian St ",2,0,2
MA ,4097 ,"Russian, E Eur, Eurasian St ",4,2,2
BALAS ,0150 ,History of Art ,15,2,13
BALAS ,0150 ,History of Art ,2,0,2
BALAS ,0463 ,Individual Plans of Study ,1,0,1
BALAS ,3865 ,Interdisciplinary ,2,1,1
BALAS ,5215 ,Global Studies ,153,44,109
BALAS ,5215 ,Global Studies ,30,8,22
BS ,0240 ,Physics ,202,156,46
BSLAS ,0240 ,Physics ,55,48,7
BSLAS ,0240 ,Physics ,14,12,2
BSLAS ,0240 ,Physics ,3,2,1
BSLAS ,0240 ,Physics ,1,1,0
BSLAS ,0463 ,Individual Plans of Study ,12,5,7
NDEG ,0067 ,Nondegree ,149,76,73
NONE ,0390 ,General Curriculum ,121,76,45
NONE ,5246 ,LAS - Undeclared ,135,46,89
BSLAS ,0329 ,Statistics ,312,194,118
BSLAS ,0329 ,Statistics ,63,34,29
BSLAS ,0464 ,Statistics & Computer Science ,242,180,62
BSLAS ,0464 ,Statistics & Computer Science ,17,15,2
MS ,0329 ,Statistics ,82,34,48
MS ,0329 ,Statistics ,1,0,1
MS ,0329 ,Statistics ,54,28,26
PHD ,0329 ,Statistics ,49,35,14
PHD ,4094 ,Cell and Developmental Biology ,31,13,18
BA ,0297 ,Teaching of Spanish ,7,0,7
BALAS ,0307 ,Spanish ,69,24,45
BALAS ,0307 ,Spanish ,8,3,5
MA ,0306 ,Portuguese ,1,0,1
MA ,0307 ,Spanish ,1,1,0
MA ,0307 ,Spanish ,1,0,1
MA ,0307 ,Spanish ,5,3,2
PHD ,0307 ,Spanish ,33,8,25
PHD ,0307 ,Spanish ,1,1,0
PHD ,0307 ,Spanish ,3,0,3
PHD ,0325 ,Molecular & Integrative Physi ,23,8,15
MA ,5346 ,Translation and Interpreting ,11,7,4
MA ,5346 ,Translation and Interpreting ,19,3,16
BS ,0336 ,Geology ,33,20,13
BS ,0336 ,Geology ,7,6,1
BS ,0336 ,Geology ,4,1,3
BSLAS ,0336 ,Geology ,8,7,1
BSLAS ,0336 ,Geology ,2,1,1
BSLAS ,0336 ,Geology ,8,4,4
MS ,0336 ,Geology ,4,0,4
PHD ,0336 ,Geology ,31,16,15
MA ,5203 ,European Union Studies ,6,3,3
BALAS ,1279 ,Gender and Women's Studies ,20,0,20
BS ,0300 ,Chemical Engineering ,643,430,211
BS ,0300 ,Chemical Engineering ,10,9,1
MS ,0300 ,Chemical Engineering ,1,0,1
PHD ,0300 ,Chemical Engineering ,95,60,35
PHD ,0300 ,Chemical Engineering ,7,3,4
BALAS ,0343 ,Political Science ,621,340,280
BALAS ,0343 ,Political Science ,87,47,40
BALAS ,0343 ,Political Science ,12,6,6
PHD ,0343 ,Political Science ,48,29,19
BALAS ,0332 ,Philosophy ,82,61,21
BALAS ,0332 ,Philosophy ,5,3,2
PHD ,0332 ,Philosophy ,24,18,6
BALAS ,0286 ,Latin American Studies ,2,2,0
MA ,0286 ,Latin American Studies ,3,2,1
BALAS ,1120 ,Comparative Literature ,8,2,6
BALAS ,1120 ,Comparative Literature ,1,0,1
BALAS ,1120 ,Comparative Literature ,1,1,0
MA ,1120 ,Comparative Literature ,7,2,5
NONE ,1120 ,Comparative Literature ,1,0,1
PHD ,1120 ,Comparative Literature ,11,2,9
BALAS ,0301 ,Linguistics ,79,38,41
BALAS ,0301 ,Linguistics ,4,0,4
BSLAS ,5351 ,Computer Sci & Linguistics ,73,50,23
BSLAS ,5351 ,Computer Sci & Linguistics ,3,1,2
MA ,0299 ,Teaching of English Sec Lang ,28,5,23
MA ,0301 ,Linguistics ,14,4,10
PHD ,0301 ,Linguistics ,26,7,19
PHD ,0301 ,Linguistics ,2,1,1
BALAS ,5330 ,Geography & Geographic Info Sc ,23,18,5
BALAS ,5330 ,Geography & Geographic Info Sc ,1,0,1
BALAS ,5330 ,Geography & Geographic Info Sc ,11,9,2
BALAS ,5330 ,Geography & Geographic Info Sc ,3,3,0
MA ,0341 ,Geography ,1,0,1
MS ,5856 ,Geography ,4,2,2
MS ,5856 ,Geography ,15,12,3
PHD ,0341 ,Geography ,33,18,15
BALAS ,0412 ,Germanic Lang & Lit ,1,0,1
BALAS ,0412 ,Germanic Lang & Lit ,1,0,1
BALAS ,0412 ,Germanic Lang & Lit ,1,0,1
BALAS ,0412 ,Germanic Lang & Lit ,1,0,1
BALAS ,1292 ,Germanic Studies ,1,1,0
BALAS ,1292 ,Germanic Studies ,1,1,0
BALAS ,1292 ,Germanic Studies ,1,0,1
MA ,0303 ,German ,1,1,0
NDEG ,0303 ,German ,2,0,2
PHD ,0303 ,German ,6,5,1
PHD ,0322 ,Microbiology ,49,20,29
BALAS ,5459 ,Slavic Studies ,1,1,0
BALAS ,5459 ,Slavic Studies ,3,1,2
BALAS ,5459 ,Slavic Studies ,1,1,0
MA ,0302 ,Slavic Languages & Literature ,1,1,0
PHD ,0302 ,Slavic Languages & Literature ,13,2,11
PHD ,0323 ,Neuroscience ,54,22,32
BALAS ,5167 ,Latina/Latino Studies ,15,1,14
BALAS ,5167 ,Latina/Latino Studies ,1,0,1
BA ,0295 ,Teaching of French ,1,0,1
BALAS ,0304 ,French ,4,2,2
BALAS ,0304 ,French ,1,1,0
BALAS ,0304 ,French ,8,3,5
BALAS ,0304 ,French ,2,2,0
BALAS ,0305 ,Italian ,2,0,2
MA ,0304 ,French ,5,1,4
MA ,0305 ,Italian ,3,1,2
NDEG ,0304 ,French ,1,1,0
PHD ,0304 ,French ,14,5,9
PHD ,0304 ,French ,1,1,0
PHD ,0305 ,Italian ,2,2,0
  ,  ,Liberal Arts & Sci ,14535,7343,7188
,,,,,
,,,,,
  ,  ,General Studies ,  ,  ,  
NONE ,5083 ,Undeclared ,2474,1352,1121
NONE ,5589 ,Pre-Engineering ,488,394,94
  ,  ,General Studies ,2962,1746,1215
,,,,,
,,,,,
  ,  ,Applied Health Sci ,  ,  ,  
BS ,5460 ,Interdisciplinary Health Sci ,101,20,81
BS ,5460 ,Interdisciplinary Health Sci ,46,12,34
BS ,5460 ,Interdisciplinary Health Sci ,95,18,77
BS ,5460 ,Interdisciplinary Health Sci ,86,10,76
BS ,0349 ,Community Health ,198,65,133
BS ,0349 ,Community Health ,105,18,87
BS ,0349 ,Community Health ,261,64,197
BS ,0349 ,Community Health ,44,5,39
BS ,0351 ,Kinesiology ,550,249,301
BS ,0351 ,Kinesiology ,14,2,12
MPH ,1630 ,Public Health ,20,4,16
MS ,0349 ,Community Health ,22,3,19
MS ,0351 ,Kinesiology ,18,6,12
PHD ,0349 ,Community Health ,26,5,21
PHD ,0351 ,Kinesiology ,52,29,23
AUD ,1053 ,Audiology ,26,2,23
BS ,0354 ,Speech & Hearing Science ,62,3,59
BS ,0354 ,Speech & Hearing Science ,14,0,14
BS ,0354 ,Speech & Hearing Science ,11,3,8
BS ,0354 ,Speech & Hearing Science ,146,3,143
BS ,0354 ,Speech & Hearing Science ,9,1,8
MA ,0354 ,Speech & Hearing Science ,47,3,44
PHD ,0354 ,Speech & Hearing Science ,9,1,8
NDEG ,0067 ,Nondegree ,31,15,16
BS ,4043 ,"Recreation, Sport, and Tourism ",32,26,6
BS ,4043 ,"Recreation, Sport, and Tourism ",18,7,11
BS ,4043 ,"Recreation, Sport, and Tourism ",28,13,15
BS ,4043 ,"Recreation, Sport, and Tourism ",187,142,45
MS ,4043 ,"Recreation, Sport, and Tourism ",31,21,10
MS ,4043 ,"Recreation, Sport, and Tourism ",28,15,13
NDEG ,4043 ,"Recreation, Sport, and Tourism ",3,3,0
PHD ,4043 ,"Recreation, Sport, and Tourism ",32,16,16
NDEG ,0067 ,Nondegree ,7,1,6
  ,  ,Applied Health Sci ,2359,785,1573
,,,,,
,,,,,
  ,  ,Veterinary Medicine ,  ,  ,  
MS ,5216 ,VMS - Pathobiology ,7,1,6
PHD ,5216 ,VMS - Pathobiology ,22,11,11
DVM ,0480 ,Veterinary Medicine ,544,75,469
DVM ,0480 ,Veterinary Medicine ,1,0,1
MS ,0359 ,VMS-Veterinary Clinical Medcne ,34,9,25
MS ,5274 ,VMS - Comparative Biosciences ,2,0,2
PHD ,5274 ,VMS - Comparative Biosciences ,17,2,15
  ,  ,Veterinary Medicine ,627,98,529
,,,,,
,,,,,
  ,  ,Labor & Empl. Rel. ,  ,  ,  
MHRIR ,0364 ,Human Res & Industrial Rels ,186,50,136
MHRIR ,0364 ,Human Res & Industrial Rels ,50,14,36
PHD ,0364 ,Human Res & Industrial Rels ,15,10,5
  ,  ,Labor & Empl. Rel. ,251,74,177
,,,,,
,,,,,
  ,  ,School of Social Work ,  ,  ,  
BSW ,0365 ,Social Work ,253,35,218
MSW ,0365 ,Social Work ,1,1,0
MSW ,0365 ,Social Work ,2,1,1
MSW ,0365 ,Social Work ,1,0,1
MSW ,0365 ,Social Work ,1,0,1
MSW ,0365 ,Social Work ,2,0,2
MSW ,0365 ,Social Work ,1,0,1
MSW ,0365 ,Social Work ,2,1,1
MSW ,0365 ,Social Work ,178,28,150
MSW ,0365 ,Social Work ,107,10,97
MSW ,0365 ,Social Work ,23,2,21
MSW ,0365 ,Social Work ,6,1,5
NDEG ,0365 ,Social Work ,1,0,1
NDEG ,0365 ,Social Work ,6,0,6
PHD ,0365 ,Social Work ,23,7,16
  ,  ,School of Social Work ,607,86,521
,,,,,
,,,,,
  ,  ,Center Innov in Teach Learn ,  ,  ,  
NDEG ,1249 ,Nondegree-CE ,305,121,182
NDEG ,1249 ,Nondegree-CE ,94,49,40
  ,  ,Center Innov in Teach Learn ,399,170,222
,,,,,
,,,,,
  ,  ,School of Information Sciences ,  ,  ,  
CAS ,0370 ,Library & Information Science ,5,0,5
CAS ,0370 ,Library & Information Science ,7,1,6
MS ,0370 ,Library & Information Science ,202,48,153
MS ,0370 ,Library & Information Science ,264,50,210
MS ,4026 ,Bioinformatics ,4,3,1
MS ,5581 ,Information Management ,262,126,136
MS ,5581 ,Information Management ,14,5,9
PHD ,0370 ,Library & Information Science ,51,17,34
  ,  ,School of Information Sciences ,809,250,554
,,,,,
,,,,,
  ,  ,Carle Illinois Medicine ,  ,  ,  
MD ,5641 ,Medicine - Carle Illinois COM ,32,15,15
  ,  ,Carle Illinois Medicine ,32,15,15
,,,,,
,,,,,
  ,  ,Provost & VC Acad Affairs ,  ,  ,  
NDEG ,0067 ,Nondegree ,3,0,2
  ,  ,Provost & VC Acad Affairs ,3,0,2
